completed_M,omj_job_id_x,on_time,omj_job_id_y,on_time_pct
2023-01,166,True,131,78
2023-02,626,True,457,73
2023-03,1014,True,683,67
2023-04,754,True,537,71
2023-05,819,True,559,68
2023-06,738,True,445,60
2023-07,616,True,391,63
2023-08,877,True,567,64
2023-09,693,True,437,63
2023-10,827,True,618,74
2023-11,502,True,253,50
2023-12,513,True,236,46
2024-01,464,True,279,60
2024-02,514,True,304,59
2024-03,524,True,338,64
2024-04,593,True,360,60
2024-05,540,True,360,66
2024-06,453,True,304,67
2024-07,759,True,363,47
2024-08,579,True,307,53
2024-09,653,True,326,49
2024-10,709,True,364,51
